City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
230,Batagay,RU,67.6333,134.6333,-30.6,98,100,2.15,overcast clouds
231,San Quintin,MX,30.4833,-115.95,61.97,50,0,7.65,clear sky
232,Atuona,PF,-9.8,-139.0333,77.77,79,22,12.01,light rain
233,Marsa Matruh,EG,31.3525,27.2453,50.2,71,40,10.36,scattered clouds
234,Torbay,CA,47.6666,-52.7314,39.27,96,100,27.63,heavy intensity rain
235,Baraboo,US,43.4711,-89.7443,19.54,76,0,1.01,clear sky
236,Shingu,JP,33.7333,135.9833,43.79,45,100,3.98,overcast clouds
237,Oranjemund,NA,-28.55,16.4333,65.21,86,78,7.25,broken clouds
238,San Patricio,US,28.017,-97.5169,57.29,46,17,10.09,few clouds
239,Puerto Del Rosario,ES,28.5004,-13.8627,65.88,77,0,8.05,clear sky
240,Mercedes,AR,-34.6515,-59.4307,76.86,62,100,10.8,overcast clouds
241,Henties Bay,NA,-22.116,14.2845,60.85,83,77,3.22,broken clouds
242,Plouzane,FR,48.3833,-4.6167,48.52,100,100,4.61,mist
243,Belaya Gora,RU,68.5333,146.4167,-18.63,100,93,2.55,overcast clouds
244,Bairiki,KI,1.3292,172.9752,86.0,74,40,9.22,light rain
245,Harper,LR,4.375,-7.7169,78.8,87,10,5.86,clear sky
246,Dunedin,NZ,-45.8742,170.5036,58.03,92,100,4.65,overcast clouds
247,San Pedro,PH,14.35,121.0167,86.32,74,20,5.75,few clouds
248,Alice Town,BS,25.7167,-79.3,60.44,49,9,21.07,clear sky
249,Solikamsk,RU,59.6196,56.7729,3.79,98,95,4.34,overcast clouds
250,Chunskiy,RU,56.0815,99.6342,-18.09,100,98,1.83,overcast clouds
251,Lavrentiya,RU,65.5833,-171.0,-2.2,86,3,3.51,clear sky
252,Young,UY,-32.6833,-57.6333,67.32,67,46,6.82,scattered clouds
253,Vojka,RS,44.9397,20.1539,36.14,71,0,9.22,clear sky
254,Yar-Sale,RU,66.8333,70.8333,-9.9,98,84,8.41,broken clouds
255,Ribeira Grande,PT,38.5167,-28.7,58.68,75,98,4.65,overcast clouds
256,Cervo,ES,43.6702,-7.4101,49.96,85,100,15.57,overcast clouds
257,Lukovetskiy,RU,64.2956,41.9211,17.58,96,100,7.52,overcast clouds
258,Susangerd,IR,31.5608,48.1831,41.02,53,0,7.83,clear sky
259,Yumen,CN,40.2833,97.2,11.37,66,0,7.63,clear sky
260,Teya,RU,60.3778,92.6267,-1.5,100,99,2.77,overcast clouds
261,Aswan,EG,24.0934,32.907,47.5,53,0,5.75,clear sky
262,Naryan-Mar,RU,67.6713,53.087,16.03,94,100,15.1,light snow
263,Cochrane,CA,51.1834,-114.4687,43.84,26,75,21.85,broken clouds
264,Hovd,MN,48.0056,91.6419,-14.76,79,46,2.71,scattered clouds
265,Los Llanos De Aridane,ES,28.6585,-17.9182,58.75,75,100,8.01,haze
266,Plyussa,RU,58.4308,29.3654,25.47,94,100,16.98,snow
267,Korla,CN,41.7597,86.1469,23.14,55,100,8.25,overcast clouds
268,Paamiut,GL,61.994,-49.6678,14.14,69,100,15.28,light snow
269,Portland,US,45.5234,-122.6762,49.66,61,100,1.01,overcast clouds
270,Solaro,IT,44.8799,9.1732,50.32,77,42,1.01,scattered clouds
271,Mitu,CO,1.1983,-70.1733,74.61,61,100,2.77,overcast clouds
272,Chicama,PE,-7.8447,-79.1469,66.74,73,100,5.88,overcast clouds
273,Minot,US,48.2325,-101.2963,14.22,85,75,3.44,broken clouds
274,Christchurch,NZ,-43.5333,172.6333,75.99,46,86,3.0,overcast clouds
275,Vanimo,PG,-2.6741,141.3028,80.26,80,100,9.48,moderate rain
276,Kenai,US,60.5544,-151.2583,29.08,86,99,0.78,overcast clouds
277,Qixia,CN,37.2975,120.8256,28.33,52,0,2.75,clear sky
278,Mikhaylovka,RU,50.06,43.2379,34.79,97,100,15.14,light snow
279,Vestmannaeyjar,IS,63.4427,-20.2734,41.0,65,100,18.72,overcast clouds
280,Udachnyy,RU,66.4167,112.4,-26.03,100,43,3.29,scattered clouds
281,Cockburn Town,TC,21.4612,-71.1419,78.76,73,40,9.22,scattered clouds
282,Bambous Virieux,MU,-20.3428,57.7575,76.21,75,100,12.46,overcast clouds
283,Nalut,LY,30.3333,10.85,40.86,80,0,7.81,clear sky
284,Grenaa,DK,56.4158,10.8783,43.02,71,1,8.01,clear sky
285,Amga,RU,60.8953,131.9608,-24.75,99,94,1.48,overcast clouds
286,Kovdor,RU,67.5662,30.4758,-4.81,100,61,0.67,broken clouds
287,Cabo San Lucas,MX,22.8909,-109.9124,73.94,56,0,3.62,clear sky
288,Anadyr,RU,64.75,177.4833,-14.78,99,86,2.3,overcast clouds
289,Springdale,US,36.1867,-94.1288,46.51,49,0,3.44,clear sky
290,Santa Maria,BR,-29.6842,-53.8069,69.46,58,0,10.22,clear sky
291,Dhidhdhoo,MV,6.8833,73.1,82.36,72,43,17.05,scattered clouds
292,Otane,NZ,-39.8833,176.6333,82.38,21,1,6.64,clear sky
293,Huanren,CN,41.2647,125.3667,12.38,65,4,1.81,clear sky
294,Dukat,RU,62.55,155.55,-4.07,99,100,4.09,overcast clouds
295,Allonnes,FR,47.9674,0.1581,48.24,87,100,3.44,overcast clouds
296,Guerrero Negro,MX,27.9769,-114.0611,64.24,41,2,13.15,clear sky
297,Malanje,AO,-9.5402,16.341,63.77,98,100,4.07,light rain
298,Mukhen,RU,48.1,136.1,-3.96,86,82,3.56,broken clouds
299,Kichera,RU,55.9375,110.0997,-12.08,87,21,4.25,few clouds
300,College,US,64.8569,-147.8028,-16.53,97,5,2.57,clear sky
301,Port Keats,AU,-14.25,129.55,83.71,81,98,19.01,light rain
302,Beringovskiy,RU,63.05,179.3167,-8.99,99,75,3.0,broken clouds
303,Biloela,AU,-24.4167,150.5,90.21,43,64,11.39,broken clouds
304,Kavieng,PG,-2.5744,150.7967,83.37,73,100,5.91,light rain
305,Deputatskiy,RU,69.3,139.9,-19.79,96,99,2.15,overcast clouds
306,Pangody,RU,65.85,74.4859,-5.22,95,98,8.72,overcast clouds
307,Bandarbeyla,SO,9.4942,50.8122,75.33,73,100,19.39,light rain
308,Halifax,CA,44.6453,-63.5724,32.49,98,100,5.99,overcast clouds
309,Mount Gambier,AU,-37.8333,140.7667,69.71,78,100,8.05,overcast clouds
310,Barcelona,ES,41.3888,2.159,51.91,57,0,1.99,clear sky
311,Bjornevatn,NO,69.6672,29.9847,1.74,85,100,6.91,overcast clouds
312,Hofn,IS,64.2539,-15.2082,31.46,60,100,6.71,overcast clouds
313,Aklavik,CA,68.2191,-135.0107,-21.19,92,100,4.32,overcast clouds
314,Sola,VU,-13.8833,167.55,81.97,79,100,17.0,overcast clouds
